PC	batch	Island	Sampling.Site	Language	Sampling.Date	Age	RNA.Extraction.Batch	Sequencing.pool	RIN	Mappi	Season	Gran	Bcell	CD4T	CD8T	NK	Mono	replicate	Variance
29	0.720890806770797	0.978699333247653	0.467857377175903	0.527686035486672	0.649443460155655	0.858055550049802	0.241021967763672	0.457124561012298	0.6622906838542	0.907443204919174	0.907443204919174	0.459568972649519	0.203730667836836	0.757358275125318	0.368982068479399	0.45247529447098	0.618339888245389	0.027298240793768	0.00439818562087311
30	0.495719116919355	0.613607293463926	0.799434509591199	0.828610107749567	0.879221881394481	0.0877703785145383	0.937518695790761	0.374366089843869	0.493057862906775	0.792176858122498	0.792176858122498	0.833070341262798	0.590820956748121	0.942698336376003	0.822078925459666	0.285045061237673	0.973139230038722	0.0902135094620257	0.00420155824116884
31	0.737619201668543	0.734836729354886	0.0512305344146748	0.0979434158871144	0.087224342090811	0.852101332451679	0.169059487937561	0.462061842130972	0.615916721566301	0.764134380012476	0.764134380012476	0.890981758021344	0.738605839865561	0.97901699402998	0.459462425777679	0.875548510992329	0.751953773706427	0.473394746390958	0.00404831804240654
32	0.933586886783984	0.743810946026226	0.211101869966314	0.267517146819814	0.224126275147015	0.310465292739202	0.232127665928567	0.0885687215659788	0.806536241413151	0.891205242678973	0.891205242678973	0.899515069294208	0.831870708085732	0.60085238863292	0.249856931404162	0.940508991024768	0.883738723399266	0.71000039261459	0.00399561533504247
33	0.799395738782665	0.943974687688177	0.523108088873782	0.644266305774348	0.559544782844198	0.217864309768145	0.686604586206073	0.882235374465258	0.757663046018546	0.967998524523324	0.967998524523324	0.793593037568531	0.900381011697627	0.770500194688827	0.915720031905682	0.160975442546291	0.97042142134404	0.729579396373495	0.00394071184386175
34	0.94093038427974	0.99251493021646	0.459150468196295	0.596337923067308	0.0336587898047414	0.84190207688137	0.384903140575816	0.287795171435248	0.0662767559701494	0.904751465562785	0.904751465562785	0.903484678069415	0.912874803076788	0.609003173307736	0.810298271668783	0.664742675786425	0.959145221026764	0.795309375967974	0.00380466169741189
35	0.657433194171847	0.905231878967977	0.849295706511733	0.92650505960129	0.821259257501822	0.420475689750613	0.112579773931228	0.681988648069706	0.700585196697307	0.655643065553182	0.655643065553182	0.977325836440596	0.809019482367863	0.292786341830639	0.197005407443651	0.312761019257408	0.930483512040899	0.612390171241326	0.00373619523623664
36	0.814806309945126	0.543337643997412	0.965129115474609	0.957741099352463	0.896104872307568	0.584533784048211	0.561186787438102	0.723284332986741	0.696286766156137	0.504677803009095	0.504677803009095	0.78140024601548	0.848283412235443	0.636641936473003	0.900975558197288	0.760713081111495	0.785848949330467	0.653188912675983	0.00369814902688746
37	0.985025201070542	0.884393286362938	0.966919554130363	0.989791005039816	0.982337182896433	0.155167388556361	0.0126458517216521	0.475047024385638	0.818253913508794	0.620915134612428	0.620915134612428	0.624461513698864	0.511129269318439	0.797340513623436	0.275187727272562	0.530586905178577	0.852048911430133	0.766999599885185	0.00362752896344878
38	0.915386886312034	0.917537338176277	0.961319354802586	0.984010112123153	0.541323954190553	0.773859164662302	0.0976742626568183	0.221980742714361	0.50853659524796	0.753503066020305	0.753503066020305	0.841983259824892	0.79874902468904	0.804837278399043	0.531958334237615	0.923956607170478	0.899395426100228	0.936594792682786	0.00358378819230971
39	0.971985477923046	0.851254490278408	0.36563095133205	0.354194641572547	0.162418997803344	0.758005978732207	0.222765762484374	0.209183051036755	0.749183578905148	0.868264345181418	0.868264345181418	0.802725184655696	0.732315540223806	0.915994791438755	0.324055101319175	0.530232396771434	0.993159388788462	0.968836502972044	0.00345540200371634
40	0.791910196039943	0.809146534877937	0.930717138134566	0.878075510981501	0.93822328476944	0.555701927564266	0.0737010028302546	0.850961263335478	0.464430118886687	0.853993644208045	0.853993644208045	0.946537982050855	0.976249239215019	0.790407886186388	0.886696630098668	0.625728036321286	0.929588962069611	0.571613441169077	0.00343241115116693
41	0.996196392655444	0.947466168697109	0.622746642323044	0.346863499733396	0.762178906989831	0.561817798789268	0.92266193490075	0.263503458197311	0.891785981552345	0.862573066302241	0.862573066302241	0.613737817551629	0.823600942975257	0.590690800679489	0.24242006657246	0.766860531334132	0.751712333472113	0.316457386362824	0.00333793947592581
