"PC" "lib.size" "batch" "Island" "Sampling.Site" "Language" "Sampling.Date" "Age" "RNA.Extraction.Batch" "Sequencing.pool" "RIN" "Mappi" "Season" "Gran" "Bcell" "CD4T" "CD8T" "NK" "Mono" "ID" "replicate" "microscopy.pos" "PCR.pos" "fract.pfpx.reads" "ind" "Variance"
"25" 25 0.96298805237753 0.923367407058946 0.63638020873822 0.392556360645605 0.0947268252547097 0.288875548225454 0.661145720875091 0.785235303535419 0.658871039159398 0.712219707137589 0.537760866167612 0.537760866167612 0.881145910189696 0.895336811389159 0.913528785509809 0.998293553065126 0.861158499794253 0.823931504011824 0.00118124661268387 0.485857837075135 0.573727102312764 0.637438245725889 0.950028687699032 0.00118124661268387 0.00687570428502567
"26" 26 0.675486592512555 0.982450601814051 0.901445517263565 0.686367745195769 0.807998206643967 0.747881610407455 0.948751425272498 0.958541326286186 0.949058244741745 0.856838702196756 0.892664030320627 0.892664030320627 0.925768649020861 0.985125160727078 0.91232349100653 0.994942222634899 0.936704820111476 0.875927187055132 0.000768696403245327 0.518897415178327 0.710321340419254 0.57488962447682 0.0658584478568106 0.000768696403245327 0.00667300301240917
"27" 27 0.906104389458422 0.99691493216311 0.985984213106215 0.393602004442219 0.450888284313516 0.516490247397776 0.957000189063977 0.773038500539691 0.637393988883576 0.940108870792256 0.981887462646071 0.981887462646071 0.971935912190573 0.987207181054324 0.97164207151504 0.998959476588999 0.997422267400754 0.954967934333864 0.00216609019950805 0.497230020461558 0.565822969822552 0.395490119685949 0.984265073207402 0.00216609019950805 0.00664607633179946
"28" 28 0.402058711994643 0.993589832810488 0.859918710355394 0.475387781301108 0.605248966985026 0.294827553184355 0.917210474576349 0.036743529258793 0.464481060380085 0.927321191775174 0.641930767050439 0.641930767050439 0.947911821178788 0.974366252529564 0.914392162995925 0.992084418212662 0.84917629071282 0.902926835420789 0.000608941962684662 0.907299569486574 0.822022073988315 0.731501964118508 0.00517539194834289 0.000608941962684662 0.00649576844306182
"29" 29 0.495214766547285 0.949419106050317 0.77606990075077 0.36043464484195 0.4085070420093 0.539808652685556 0.761556244601351 0.834581574805037 0.188150995228925 0.762030850102171 0.732479416039099 0.732479416039099 0.896350744412333 0.927618837332745 0.911974122881317 0.999188466414541 0.934929699219806 0.841150536030468 7.83229118115881e-05 0.633930037268747 0.991004503368782 0.984051771752624 0.335330508900712 7.83229118115881e-05 0.00630575814027694
"30" 30 0.700920934597915 0.994816292812374 0.959368727592579 0.861849555257086 0.915943964351123 0.481769403057964 0.993338283982512 0.0392453827700219 0.0672088557353328 0.923008246787921 0.882255619933397 0.882255619933397 0.957414578309558 0.99836984004869 0.945071308689487 0.996265897772754 0.943220646254881 0.926801052243011 0.00446549331346045 0.560193170677993 0.95271832992923 0.730047384335644 0.602894131136049 0.00446549331346045 0.00592589811046825
"31" 31 0.466461768138457 0.990916110291091 0.93135828981323 0.992342296998908 0.911919503548986 0.469293286951779 0.989082294944285 0.0254417945948732 0.259009211685209 0.897974185231721 0.850150021699375 0.850150021699375 0.943799096486604 0.997203775372344 0.927956073328547 0.995148344669685 0.926995308778498 0.903640253929157 1.20897457651364e-05 0.861219775649443 0.129460017751176 0.632970693252533 0.839884112078722 1.20897457651364e-05 0.00585382454879311
"32" 32 0.669027960135125 0.970121284306513 0.844787072662336 0.840009215025752 0.775204591731363 0.895187130001278 0.789789023604743 0.27938696032081 0.262929518676944 0.819657985086636 0.712723542328013 0.712723542328013 0.925905538659613 0.936230709265715 0.945181049952708 0.999114231332995 0.917663147602166 0.889541825656067 0.00271668546992264 0.892613593522551 0.8307527093842 0.752440357676998 0.809155431403626 0.00271668546992264 0.00570433753018941
"33" 33 0.639781852757202 0.992570352488991 0.949382778845743 0.697869642306135 0.839078216671933 0.840057053591717 0.877832811235328 0.0245967885506317 0.920273683192228 0.912333427525611 0.80226913084232 0.80226913084232 0.966836035037038 0.963111990679247 0.981076859412878 0.998591187269554 0.93831362934675 0.952796066506558 0.00109264254008295 0.484840511191608 0.485658755228381 0.222551491838479 0.0961710970289838 0.00109264254008295 0.00560856809439031
"34" 34 0.937091840365687 0.960578899751305 0.76279958336731 0.996836271544031 0.986353501432122 0.99934844466275 0.949834125132041 0.250164188337258 0.114133557549653 0.786490453218972 0.763989357553808 0.763989357553808 0.885207754123779 0.985828826098353 0.858662518393831 0.991087636479279 0.875910750035283 0.80643899826445 0.0283099909858847 0.493310306946858 0.905521446424558 0.875098271225927 0.822751731391812 0.0283099909858847 0.00547818874013493
