"PC" "lib.size" "batch" "Island" "Sampling.Site" "Language" "Sampling.Date" "Age" "RNA.Extraction.Batch" "Sequencing.pool" "RIN" "Mappi" "Season" "Gran" "Bcell" "CD4T" "CD8T" "NK" "Mono" "ID" "replicate" "microscopy.pos" "PCR.pos" "fract.pfpx.reads" "ind" "Variance"
"35" 35 0.689354050948481 0.759960038653121 0.864333825312334 0.966182097593957 0.988158175892043 0.946312393847378 0.517855292927747 0.0991528718703128 0.18079918127206 0.669004099285368 0.617514136210135 0.617514136210135 0.846748678093594 0.586817607485278 0.744665045534989 0.967000477315106 0.694854556320167 0.799974804983487 3.06754627056234e-09 0.671921283698344 0.0446503668245486 0.581149298145754 0.836418543951356 3.06754627056234e-09 0.00399665749705814
"36" 36 0.198458644642236 0.51216043724365 0.812482580330453 0.945785719351247 0.983158221306342 0.888670394966347 0.792653800731111 0.441780091763698 0.533627879565345 0.785299562335827 0.622758723984634 0.622758723984634 0.974924205934671 0.956603605355454 0.321165660179372 0.241915416725888 0.302338535744816 0.836270683266591 1.15971159224649e-06 0.763388112765634 0.329565275097446 0.216354461377828 0.573403982827321 1.15971159224649e-06 0.0039191690455837
"37" 37 0.357639363180321 0.14498159356475 0.712566065550882 0.388144000622063 0.476878255487313 0.0830943404006586 0.142061320870113 0.763479333678253 0.576033264675577 0.143859256464373 0.826854027239662 0.826854027239662 0.753646301923212 0.981123598487242 0.740722778584587 0.962644612316555 0.492924372990165 0.834897564383433 0.000192720362832912 0.945988835018052 0.173106166704676 0.253643810555506 0.188141812453065 0.000192720362832912 0.00389251825593567
"38" 38 0.412004132327498 0.720449479279904 0.796334448279635 0.968633703118249 0.98210703208835 0.886245239716694 0.772526577856121 0.0659822185938987 0.0838579364995759 0.280927528387684 0.513687428152282 0.513687428152282 0.742815580324085 0.585080214085327 0.749324588999731 0.147790600522974 0.785532788057293 0.846066813477373 9.53437698653378e-06 0.715382145917658 0.272970030364396 0.202304282129607 0.138956615241587 9.53437698653378e-06 0.00377012179518853
"39" 39 0.849016031407791 0.607126125580189 0.627417228381367 0.165112331266099 0.226439679239131 0.182265239187856 0.91977890783943 0.272321870625183 0.0539828939384133 0.0900010797288748 0.859495340455232 0.859495340455232 0.801223223713907 0.489038399435056 0.908535589381562 0.606361425309328 0.638827131287459 0.981237332031732 2.95227900675206e-07 0.70445359794547 0.675751717453349 0.409892709065605 0.354174572626871 2.95227900675206e-07 0.00375711565487379
"40" 40 0.401814049731109 0.783077814156194 0.872195033652617 0.487071532979574 0.493207014372017 0.647992895323715 0.0724348125488089 0.783600053693132 0.665497853448496 0.756278660399624 0.664917785992686 0.664917785992686 0.585732134320363 0.933882640324233 0.999914357996258 0.724285167133764 0.384104768086376 0.973318878624889 3.85424864783665e-07 0.9121786758676 0.931030947205513 0.862756246802113 0.7407710350118 3.85424864783665e-07 0.00370765957513932
"41" 41 0.440837700755297 0.96172100784221 0.990577206480094 0.785968179602575 0.870115364749413 0.615369116227153 0.732456988812988 0.311330858337773 0.502050594643059 0.775393871843884 0.951518021055829 0.951518021055829 0.971242243846734 0.798302702904485 0.72505363840736 0.852043906565642 0.599166573364353 0.957158349023198 3.96519095768435e-07 0.290928822625518 0.727007036595295 0.490771810179747 0.197158413091147 3.96519095768435e-07 0.00361047782713969
"42" 42 0.245749853698363 0.29466128551195 0.998630466866083 0.111545331480344 0.0444153709416901 0.0999080966328011 0.448880145669633 0.202518493376502 0.118516265870679 0.307321542971459 0.971127652033682 0.971127652033682 0.895456974445949 0.993504905690981 0.784827024516019 0.519700938518002 0.728395957085036 0.725317230838694 2.26105000421768e-06 0.283565884846346 0.123442370387472 0.0821034486827222 0.416754368280628 2.26105000421768e-06 0.0035359707715464
"43" 43 0.318684363513664 0.736780849870333 0.973833416387082 0.885703416239021 0.926553183678085 0.94505694533795 0.335264070966473 0.545036523241126 0.408583486803129 0.613725598413613 0.923038441461076 0.923038441461076 0.877853767725954 0.701336561273824 0.595232895126395 0.547683810121348 0.794251597906439 0.999396404641567 6.42771103741566e-05 0.720477539178812 0.0520294326746032 0.300132534544514 0.949266875399725 6.42771103741566e-05 0.00342045494524021
"44" 44 0.623600742314767 0.885976262842094 0.93556487277928 0.528163430732137 0.582186650380962 0.354268005381858 0.82513901707815 0.104779139835494 0.256895152264657 0.561145845054814 0.801868724712164 0.801868724712164 0.756333993298967 0.608797987360765 0.72407488308452 0.264369591134046 0.59157749788172 0.806246396524124 1.41095544364525e-11 0.0686893561911381 0.317353117859972 0.418056890519731 0.589891959343943 1.41095544364525e-11 0.00335789863906437
